,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
1066537,F21Q11489620,202406,0.0,"(0.000616, 0.102]",TX,0.048693012038879824,0.0021245706107615213
1071015,F21Q11514902,202406,1.0,"(0.335, 0.666]",IL,0.5718381210670391,0.3249699950175767
1073559,F21Q11529912,202406,0.0,"(0.102, 0.335]",TX,0.12193496582577312,0.0682040830186075
1082345,F21Q11591977,202406,0.0,"(0.000616, 0.102]",IL,0.022261239720303798,0.0021245706107615213
1088985,F21Q11639295,202406,0.0,"(0.000616, 0.102]",FL,0.01642462420799702,0.0021245706107615213
1118742,F21Q11842689,202406,0.0,"(0.102, 0.335]",IL,0.20119847836182073,0.0682040830186075
1120835,F21Q11857566,202406,0.0,"(0.000616, 0.102]",CA,0.07780530602077955,0.0021245706107615213
1138813,F21Q11983491,202406,0.0,"(0.000616, 0.102]",CA,0.008949073857686824,0.0021245706107615213
1174751,F21Q12219697,202406,0.0,"(0.335, 0.666]",TX,0.5525045852708634,0.3249699950175767
1196178,F21Q12375063,202406,0.0,"(0.000616, 0.102]",IL,0.05074589285705475,0.0021245706107615213
1206930,F21Q12445053,202406,0.0,"(0.102, 0.335]",TX,0.21019151571757252,0.0682040830186075
1212843,F21Q12488483,202406,0.0,"(0.000616, 0.102]",CA,0.0254890320009307,0.0021245706107615213
1218124,F21Q20033987,202406,0.0,"(0.000616, 0.102]",FL,0.06260629146443494,0.0021245706107615213
1230550,F21Q20127068,202406,0.0,"(0.000616, 0.102]",FL,0.01650790734905519,0.0021245706107615213
1235781,F21Q20159103,202406,0.0,"(0.000616, 0.102]",TX,0.07922333421820381,0.0021245706107615213
1237253,F21Q20167629,202406,0.0,"(0.000616, 0.102]",CA,0.05851717235528564,0.0021245706107615213
1239921,F21Q20188529,202406,0.0,"(0.000616, 0.102]",TX,0.0721419100769512,0.0021245706107615213
1239997,F21Q20189184,202406,0.0,"(0.102, 0.335]",FL,0.1436485229593005,0.0682040830186075
1272581,F21Q20428591,202406,0.0,"(0.000616, 0.102]",TX,0.028514725995088884,0.0021245706107615213
1277008,F21Q20460706,202406,0.0,"(0.000616, 0.102]",IL,0.040023201650511514,0.0021245706107615213
1278827,F21Q20475748,202406,0.0,"(0.000616, 0.102]",FL,0.04024968318864744,0.0021245706107615213
1280164,F21Q20487551,202406,0.0,"(0.000616, 0.102]",CA,0.02764210104840023,0.0021245706107615213
1288196,F21Q20552623,202406,0.0,"(0.000616, 0.102]",CA,0.008002419529356652,0.0021245706107615213
1289000,F21Q20557927,202406,0.0,"(0.000616, 0.102]",CA,0.015862254683430225,0.0021245706107615213
1293131,F21Q20586671,202406,0.0,"(0.102, 0.335]",FL,0.12469531065179879,0.0682040830186075
1293747,F21Q20591491,202406,0.0,"(0.102, 0.335]",CA,0.1707665272047937,0.0682040830186075
1299303,F21Q20629912,202406,0.0,"(0.102, 0.335]",FL,0.18228673357649985,0.0682040830186075
1302994,F21Q20655392,202406,0.0,"(0.000616, 0.102]",TX,0.04292416402191244,0.0021245706107615213
1309619,F21Q20702267,202406,0.0,"(0.000616, 0.102]",FL,0.020402079489609096,0.0021245706107615213
1315627,F21Q20748675,202406,0.0,"(0.000616, 0.102]",FL,0.004462494575095509,0.0021245706107615213
1317286,F21Q20760355,202406,0.0,"(0.000616, 0.102]",IL,0.029028738414067876,0.0021245706107615213
1318128,F21Q20766743,202406,0.0,"(0.000616, 0.102]",FL,0.05591111925632048,0.0021245706107615213
1321345,F21Q20790249,202406,0.0,"(0.000616, 0.102]",FL,0.02967873192055066,0.0021245706107615213
1337257,F21Q20912700,202406,0.0,"(0.102, 0.335]",TX,0.1385821858453563,0.0682040830186075
1349361,F21Q30046911,202406,0.0,"(0.000616, 0.102]",CA,0.05818082710106796,0.0021245706107615213
1351753,F21Q30069820,202406,0.0,"(0.335, 0.666]",TX,0.33743062540767427,0.3249699950175767
1360419,F21Q30132677,202406,0.0,"(0.000616, 0.102]",CA,0.051787300403115216,0.0021245706107615213
1362212,F21Q30144199,202406,0.0,"(0.000616, 0.102]",IL,0.06341826776893474,0.0021245706107615213
1368855,F21Q30205209,202406,0.0,"(0.000616, 0.102]",TX,0.01310852363341262,0.0021245706107615213
1375358,F21Q30256588,202406,1.0,"(0.666, 0.885]",TX,0.7025217591394114,0.0
1376509,F21Q30266780,202406,0.0,"(0.000616, 0.102]",TX,0.040170461387086374,0.0021245706107615213
1384245,F21Q30334061,202406,0.0,"(0.000616, 0.102]",CA,0.048273551567466884,0.0021245706107615213
1386075,F21Q30346844,202406,0.0,"(0.000616, 0.102]",TX,0.007605703425432747,0.0021245706107615213
1393011,F21Q30400984,202406,0.0,"(0.000616, 0.102]",FL,0.03537733061064235,0.0021245706107615213
1393938,F21Q30409180,202406,0.0,"(0.000616, 0.102]",CA,0.020861354355671012,0.0021245706107615213
1413556,F21Q30567643,202406,0.0,"(0.000616, 0.102]",TX,0.008006409207068922,0.0021245706107615213
1425637,F21Q30662847,202406,0.0,"(0.000616, 0.102]",CA,0.008876645626650519,0.0021245706107615213
1425808,F21Q30664863,202406,0.0,"(0.000616, 0.102]",CA,0.037037656471574316,0.0021245706107615213
1430876,F21Q30701746,202406,0.0,"(0.102, 0.335]",TX,0.13696548727939922,0.0682040830186075
1436858,F21Q30750073,202406,0.0,"(0.000616, 0.102]",CA,0.023398963965499946,0.0021245706107615213
1447723,F21Q30843674,202406,0.0,"(0.000616, 0.102]",IL,0.05831961261264612,0.0021245706107615213
1452381,F21Q30880226,202406,0.0,"(0.102, 0.335]",FL,0.13574910293313044,0.0682040830186075
1453802,F21Q30890484,202406,0.0,"(0.102, 0.335]",FL,0.15698319154976043,0.0682040830186075
1459943,F21Q30943035,202406,0.0,"(0.102, 0.335]",CA,0.12969622504729308,0.0682040830186075
1463824,F21Q30969802,202406,0.0,"(0.000616, 0.102]",TX,0.0031563679474046315,0.0021245706107615213
1471763,F21Q31044561,202406,0.0,"(0.000616, 0.102]",CA,0.022474198784522427,0.0021245706107615213
1476439,F21Q40036878,202406,0.0,"(0.102, 0.335]",FL,0.11437639120783948,0.0682040830186075
1479096,F21Q40064003,202406,0.0,"(0.000616, 0.102]",FL,0.0830312638102635,0.0021245706107615213
